
> @werkles/tinkarden-membrane@0.0.0 dev
> next dev -p 3339

   ▲ Next.js 15.5.18
   - Local:        http://localhost:3339
   - Network:      http://10.1.10.194:3339

 ✓ Starting...
 ✓ Ready in 1418ms
 ○ Compiling /api/feral/[...path] ...
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 82ms
 GET /api/feral/v1/engine-room 200 in 27ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 70ms
 GET /api/feral/v1/engine-room 200 in 36ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 56ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 60ms
 GET /api/feral/v1/engine-room 200 in 31ms
 GET /api/feral/v1/engine-room 200 in 31ms
 GET /api/feral/v1/engine-room 200 in 37ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 63ms
 GET /api/feral/v1/engine-room 200 in 37ms
 GET /api/feral/v1/engine-room 200 in 36ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 70ms
 GET /api/feral/v1/engine-room 200 in 39ms
 GET /api/feral/v1/engine-room 200 in 41ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 72ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/feral/v1/engine-room 200 in 44ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 68ms
 GET /api/feral/v1/engine-room 200 in 41ms
 GET /api/feral/v1/engine-room 200 in 39ms
 GET /api/feral/v1/engine-room 200 in 42ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 93ms
 GET /api/feral/v1/engine-room 200 in 54ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 110ms
